candidate_id,decision_time,exit_time,r,direction,comp,w,size,weighted_r
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-23 17:00:00,2026-02-23 18:25:00,0.9999999999999956,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230701
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-23 19:00:00,2026-02-23 22:58:00,1.0,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230768
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-23 23:00:00,2026-02-24 03:00:00,-1.0000000000000069,LONG,B_STATE,1.0,1.4769230769230768,-1.476923076923087
GML1-WATCH-022-B,2026-02-24 01:15:00,2026-02-24 01:28:00,-1.0000000000000322,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769231243
GML1-H1D1-STATEFUL-REENTRY24-C,2026-02-27 16:00:00,2026-02-27 17:52:00,0.9999999999999876,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230584
GML1-H1D1-STATEFUL-REENTRY24-C,2026-03-02 02:00:00,2026-03-02 02:17:00,-0.9999999999999856,LONG,B_STATE,1.0,1.4769230769230768,-1.4769230769230555
GML1-PROV-016-APPROX,2026-03-02 14:30:00,2026-03-02 15:32:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-PROV-016-APPROX,2026-03-03 02:30:00,2026-03-03 03:22:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-PROV-019-APPROX,2026-03-04 17:45:00,2026-03-04 23:45:00,0.3547364124462191,SHORT,P19,1.0,1.4769230769230768,0.5239183937667236
GML1-PROV-019-APPROX,2026-03-09 04:30:00,2026-03-09 07:34:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-H1D1-STATEFUL-REENTRY24-C,2026-03-10 04:00:00,2026-03-10 15:21:00,0.9999999999999892,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230608
GML1-H1D1-STATEFUL-REENTRY24-C,2026-03-10 16:00:00,2026-03-10 17:33:00,0.9999999999999905,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230626
GML1-WATCH-022-B,2026-03-11 04:00:00,2026-03-11 04:08:00,-1.000000000000013,LONG,A_CORE,1.0,1.4769230769230768,-1.476923076923096
GML1-PROV-019-APPROX,2026-03-13 01:15:00,2026-03-13 02:01:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-03-17 14:00:00,2026-03-17 14:16:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-03-17 18:45:00,2026-03-18 00:45:00,0.3959738298943679,SHORT,P19,1.0,1.4769230769230768,0.5848228872286049
GML1-PROV-019-APPROX,2026-03-18 01:15:00,2026-03-18 02:04:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-03-19 16:30:00,2026-03-19 17:06:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-03-20 14:45:00,2026-03-20 15:52:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-019-APPROX,2026-03-20 18:30:00,2026-03-20 20:45:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-019-APPROX,2026-03-23 00:45:00,2026-03-23 01:55:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-WATCH-022-B,2026-03-26 00:15:00,2026-03-26 00:45:00,0.9999999999999902,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230624
GML1-WATCH-022-B,2026-03-31 04:00:00,2026-03-31 04:09:00,-1.0000000000000084,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769230892
GML1-WATCH-022-B,2026-04-01 01:15:00,2026-04-01 01:25:00,0.9999999999999656,LONG,A_CORE,1.0,1.4769230769230768,1.476923076923026
GML1-WATCH-022-B,2026-04-02 01:15:00,2026-04-02 01:27:00,0.9999999999999788,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230455
GML1-H1D1-STATEFUL-REENTRY24-C,2026-04-14 19:00:00,2026-04-14 20:07:00,1.0000000000000078,LONG,B_STATE,1.0,1.4769230769230768,1.4769230769230883
GML1-H1D1-STATEFUL-REENTRY24-C,2026-04-14 21:00:00,2026-04-15 04:16:00,0.999999999999992,LONG,B_STATE,1.0,1.4769230769230768,1.476923076923065
GML1-H1D1-STATEFUL-REENTRY24-C,2026-04-15 05:00:00,2026-04-15 05:32:00,-1.000000000000005,LONG,B_STATE,1.0,1.4769230769230768,-1.4769230769230843
GML1-WATCH-022-B,2026-04-15 12:00:00,2026-04-15 12:09:00,-1.0,LONG,A_CORE,1.0,1.4769230769230768,-1.4769230769230768
GML1-WATCH-022-B,2026-04-16 01:15:00,2026-04-16 01:19:00,1.000000000000034,LONG,A_CORE,1.0,1.4769230769230768,1.476923076923127
GML1-H1D1-STATEFUL-REENTRY24-C,2026-04-17 16:00:00,2026-04-17 16:10:00,1.0000000000000029,LONG,B_STATE,1.0,1.4769230769230768,1.476923076923081
GML1-PROV-019-APPROX,2026-04-29 12:30:00,2026-04-29 13:31:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-04-29 13:45:00,2026-04-29 15:54:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-016-APPROX,2026-05-07 05:45:00,2026-05-07 07:34:00,-1.0,LONG,P16,0.5,0.7384615384615384,-0.7384615384615384
GML1-WATCH-022-B,2026-05-07 08:00:00,2026-05-07 08:33:00,1.0,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230768
GML1-PROV-018-APPROX,2026-05-07 09:30:00,2026-05-07 09:32:00,1.0,LONG,P18,0.25,0.3692307692307692,0.3692307692307692
GML1-PROV-016-APPROX,2026-05-07 17:30:00,2026-05-07 18:27:00,-1.0,LONG,P16,0.5,0.7384615384615384,-0.7384615384615384
GML1-WATCH-022-B,2026-05-08 01:15:00,2026-05-08 02:54:00,0.9999999999999792,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230461
GML1-PROV-019-APPROX,2026-05-19 14:15:00,2026-05-19 16:08:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-019-APPROX,2026-05-19 19:15:00,2026-05-20 01:15:00,1.0115952642499784,SHORT,P19,1.0,1.4769230769230768,1.494048390276891
GML1-PROV-019-APPROX,2026-05-20 03:00:00,2026-05-20 03:26:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-PROV-019-APPROX,2026-05-21 09:45:00,2026-05-21 11:12:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-WATCH-022-B,2026-06-01 08:00:00,2026-06-01 08:24:00,1.0000000000000089,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230899
GML1-PROV-019-APPROX,2026-06-05 08:30:00,2026-06-05 09:19:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-019-APPROX,2026-06-08 10:45:00,2026-06-08 12:35:00,2.0,SHORT,P19,1.0,1.4769230769230768,2.9538461538461536
GML1-PROV-019-APPROX,2026-06-10 16:00:00,2026-06-10 16:38:00,-1.0,SHORT,P19,1.0,1.4769230769230768,-1.4769230769230768
GML1-WATCH-022-B,2026-06-15 08:00:00,2026-06-15 08:38:00,-1.0000000000000266,LONG,A_CORE,1.0,1.4769230769230768,-1.476923076923116
GML1-PROV-016-APPROX,2026-06-15 16:15:00,2026-06-15 16:32:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-WATCH-022-B,2026-06-16 01:15:00,2026-06-16 02:05:00,0.9999999999999508,LONG,A_CORE,1.0,1.4769230769230768,1.4769230769230042
GML1-PROV-018-APPROX,2026-06-16 11:00:00,2026-06-16 11:18:00,1.0,LONG,P18,0.25,0.3692307692307692,0.3692307692307692
GML1-PROV-016-APPROX,2026-06-16 11:00:00,2026-06-16 11:45:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
GML1-WATCH-022-B,2026-06-17 01:15:00,2026-06-17 02:13:00,0.9999999999999548,LONG,A_CORE,1.0,1.4769230769230768,1.47692307692301
GML1-PROV-016-APPROX,2026-06-18 16:00:00,2026-06-18 16:19:00,1.5,LONG,P16,0.5,0.7384615384615384,1.1076923076923075
