trade_id,ticker,direction,entry_decision_time_utc,entry_server_open,entry_transition,entry_origin,exit_decision_time_utc,exit_server_open,exit_transition,exit_origin,entry_rci9,entry_rci9_delta1,entry_rci9_turn_up,entry_rci9_turn_down,entry_ema_alignment,entry_ema20_minus_ema30_bps,entry_ema30_minus_ema40_bps
BTCUSD_20260721T070000Z_LONG,BTCUSD,LONG,2026-07-21T07:00:00Z,2026.07.21 10:00:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T07:15:00Z,2026.07.21 10:15:00,LONG_EXIT,EXTRA_CANDIDATE,96.66666666666667,3.333333333333343,True,False,BULLISH_STACK,12.103045109320403,10.264832874638488
BTCUSD_20260721T081500Z_LONG,BTCUSD,LONG,2026-07-21T08:15:00Z,2026.07.21 11:15:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T08:30:00Z,2026.07.21 11:30:00,LONG_EXIT,EXTRA_CANDIDATE,95.0,1.6666666666666714,True,False,BULLISH_STACK,16.77831595695135,13.20573474118316
XAUUSD_20260721T091500Z_LONG,XAUUSD,LONG,2026-07-21T09:15:00Z,2026.07.21 12:15:00,PRIMARY_LONG,NON_EXTRA,2026-07-21T10:45:00Z,2026.07.21 13:45:00,LONG_EXIT,NON_EXTRA,-83.33333333333333,10.0,True,False,BULLISH_STACK,15.084473190466072,13.36832677564241
BTCUSD_20260721T103000Z_LONG,BTCUSD,LONG,2026-07-21T10:30:00Z,2026.07.21 13:30:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T13:00:00Z,2026.07.21 16:00:00,LONG_EXIT,EXTRA_CANDIDATE,66.66666666666667,21.66666666666668,True,False,BULLISH_STACK,19.912433217627818,16.452532964923062
XAUUSD_20260721T121500Z_LONG,XAUUSD,LONG,2026-07-21T12:15:00Z,2026.07.21 15:15:00,PRIMARY_LONG,NON_EXTRA,2026-07-21T15:15:00Z,2026.07.21 18:15:00,LONG_EXIT,NON_EXTRA,-76.66666666666666,6.666666666666671,True,False,BULLISH_STACK,6.1803481581346285,8.647987394209485
BTCUSD_20260721T143000Z_LONG,BTCUSD,LONG,2026-07-21T14:30:00Z,2026.07.21 17:30:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-21T20:00:00Z,2026.07.21 23:00:00,LONG_EXIT,NON_EXTRA,53.333333333333336,5.000000000000007,True,False,BULLISH_STACK,18.950594686832336,17.207791858166456
XAUUSD_20260721T181500Z_LONG,XAUUSD,LONG,2026-07-21T18:15:00Z,2026.07.21 21:15:00,PRIMARY_LONG,NON_EXTRA,2026-07-22T01:15:00Z,2026.07.22 04:15:00,LONG_EXIT,NON_EXTRA,-76.66666666666666,6.666666666666671,True,False,BULLISH_STACK,5.232870164088344,6.052705294504058
XAUUSD_20260722T024500Z_LONG,XAUUSD,LONG,2026-07-22T02:45:00Z,2026.07.22 05:45:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-22T03:00:00Z,2026.07.22 06:00:00,LONG_EXIT,EXTRA_CANDIDATE,96.66666666666667,5.000000000000014,True,False,BULLISH_STACK,16.952513682809577,12.784394058424423
XAUUSD_20260722T033000Z_LONG,XAUUSD,LONG,2026-07-22T03:30:00Z,2026.07.22 06:30:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-22T03:45:00Z,2026.07.22 06:45:00,LONG_EXIT,EXTRA_CANDIDATE,98.33333333333333,1.6666666666666572,True,False,BULLISH_STACK,19.863407756182827,14.913287789303524
XAUUSD_20260722T054500Z_LONG,XAUUSD,LONG,2026-07-22T05:45:00Z,2026.07.22 08:45:00,PRIMARY_LONG,NON_EXTRA,2026-07-22T12:45:00Z,2026.07.22 15:45:00,LONG_EXIT,EXTRA_CANDIDATE,-31.666666666666664,46.66666666666668,True,False,BULLISH_STACK,16.528310413033562,14.815748280067906
XAUUSD_20260722T131500Z_LONG,XAUUSD,LONG,2026-07-22T13:15:00Z,2026.07.22 16:15:00,PRIMARY_LONG,EXTRA_CANDIDATE,2026-07-22T14:45:00Z,2026.07.22 17:45:00,LONG_EXIT,EXTRA_CANDIDATE,30.000000000000004,3.333333333333332,True,False,BULLISH_STACK,3.139137960552669,4.899203818154982
BTCUSD_20260722T023000Z_LONG,BTCUSD,LONG,2026-07-22T02:30:00Z,2026.07.22 05:30:00,PRIMARY_LONG,NON_EXTRA,2026-07-22T16:15:00Z,2026.07.22 19:15:00,LONG_EXIT,EXTRA_CANDIDATE,-70.0,8.333333333333343,True,False,BULLISH_STACK,1.382904608846329,2.570265189541861
BTCUSD_20260722T163000Z_SHORT,BTCUSD,SHORT,2026-07-22T16:30:00Z,2026.07.22 19:30:00,PRIMARY_SHORT,NON_EXTRA,2026-07-22T18:45:00Z,2026.07.22 21:45:00,SHORT_EXIT,EXTRA_CANDIDATE,83.33333333333334,-1.6666666666666572,False,True,BEARISH_STACK,-1.4281094564620447,-3.6645203739083994
XAUUSD_20260722T180000Z_LONG,XAUUSD,LONG,2026-07-22T18:00:00Z,2026.07.22 21:00:00,PRIMARY_LONG,NON_EXTRA,2026-07-23T01:30:00Z,2026.07.23 04:30:00,LONG_EXIT,EXTRA_CANDIDATE,-96.66666666666666,1.6666666666666856,True,False,BULLISH_STACK,8.902357855747837,9.03613092998032
BTCUSD_20260722T210000Z_SHORT,BTCUSD,SHORT,2026-07-22T21:00:00Z,2026.07.23 00:00:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-23T02:00:00Z,2026.07.23 05:00:00,SHORT_EXIT,EXTRA_CANDIDATE,75.0,-13.333333333333329,False,True,BEARISH_STACK,-1.3925537745512777,-1.9342096182828243
XAUUSD_20260723T014500Z_SHORT,XAUUSD,SHORT,2026-07-23T01:45:00Z,2026.07.23 04:45:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-23T07:15:00Z,2026.07.23 10:15:00,SHORT_EXIT,NON_EXTRA,21.666666666666668,-60.0,False,True,BEARISH_STACK,-2.5476031595017616,-0.5233239114616357
XAUUSD_20260723T093000Z_SHORT,XAUUSD,SHORT,2026-07-23T09:30:00Z,2026.07.23 12:30:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-23T10:30:00Z,2026.07.23 13:30:00,SHORT_EXIT,EXTRA_CANDIDATE,-66.66666666666667,-1.6666666666666856,False,True,BEARISH_STACK,-12.401745733268479,-8.383564809291908
XAUUSD_20260723T111500Z_SHORT,XAUUSD,SHORT,2026-07-23T11:15:00Z,2026.07.23 14:15:00,PRIMARY_SHORT,NON_EXTRA,2026-07-23T12:00:00Z,2026.07.23 15:00:00,SHORT_EXIT,NON_EXTRA,-61.66666666666667,-1.6666666666666643,False,True,BEARISH_STACK,-12.764128205149179,-9.823688502503705
BTCUSD_20260723T040000Z_SHORT,BTCUSD,SHORT,2026-07-23T04:00:00Z,2026.07.23 07:00:00,PRIMARY_SHORT,EXTRA_CANDIDATE,2026-07-23T12:15:00Z,2026.07.23 15:15:00,SHORT_EXIT,NON_EXTRA,-70.0,-1.6666666666666714,False,True,BEARISH_STACK,-6.152034120454964,-3.7103854737494144
